group,layer,head,enrichment_date
unseen,0,11,1.044272780418396
unseen,1,0,0.4524160921573639
unseen,1,1,0.5135261416435242
unseen,1,2,0.8929112553596497
unseen,1,3,0.2857368588447571
unseen,1,4,0.4551532566547394
unseen,1,5,0.2901398241519928
unseen,1,6,0.3914351761341095
unseen,1,7,0.5078597664833069
unseen,1,8,0.4461185038089752
unseen,1,9,0.08531477302312851
unseen,1,10,0.19708657264709473
unseen,1,11,0.6801711320877075
unseen,2,0,0.2864026725292206
unseen,2,1,0.7353531122207642
unseen,2,2,0.13229252398014069
unseen,2,3,0.5091477036476135
unseen,2,4,0.43764328956604004
unseen,2,5,0.5786898136138916
unseen,2,6,0.5477939248085022
unseen,2,7,0.6118441820144653
unseen,2,8,0.6572341918945312
unseen,2,9,0.43533822894096375
unseen,2,10,0.364572137594223
unseen,2,11,0.29282277822494507
unseen,3,0,0.5545795559883118
unseen,3,1,0.4817850887775421
unseen,3,2,0.5223380923271179
unseen,3,3,0.6135403513908386
unseen,3,4,0.41941794753074646
unseen,3,5,0.5638379454612732
unseen,3,6,0.591261625289917
unseen,3,7,0.5627269744873047
unseen,3,8,0.7319028973579407
unseen,3,9,0.5353263020515442
unseen,3,10,0.3572102189064026
unseen,3,11,1.2333165407180786
unseen,4,0,0.4166851341724396
unseen,4,1,1.0080260038375854
unseen,4,2,0.5826003551483154
unseen,4,3,0.3790695071220398
unseen,4,4,0.4464680552482605
unseen,4,5,0.4646933972835541
unseen,4,6,0.42440807819366455
unseen,4,7,0.38913455605506897
unseen,4,8,0.7838418483734131
unseen,4,9,0.6247612237930298
unseen,4,10,0.42100790143013
unseen,4,11,0.43946897983551025
unseen,5,0,0.2243991196155548
unseen,5,1,0.6323843002319336
unseen,5,2,0.24278925359249115
unseen,5,3,0.5842560529708862
unseen,5,4,0.37382134795188904
unseen,5,5,0.5315766930580139
unseen,5,6,0.23953209817409515
unseen,5,7,0.4071607291698456
unseen,5,8,0.3809358775615692
unseen,5,9,0.3902062475681305
unseen,5,10,0.3629884123802185
unseen,5,11,0.2999889850616455
unseen,6,0,0.8087283968925476
unseen,6,1,0.6213325262069702
unseen,6,2,0.6306877136230469
unseen,6,3,0.7341060638427734
unseen,6,4,0.6280403733253479
unseen,6,5,0.8215159773826599
unseen,6,6,0.5081599354743958
unseen,6,7,0.5497341752052307
unseen,6,8,0.9551165103912354
unseen,6,9,0.6295782327651978
unseen,6,10,0.907914936542511
unseen,6,11,0.6489437222480774
unseen,7,0,1.0538746118545532
unseen,7,1,0.7747155427932739
unseen,7,2,0.5312770009040833
unseen,7,3,0.7055553793907166
unseen,7,4,0.4292815625667572
unseen,7,5,0.8029691576957703
unseen,7,6,0.867032527923584
unseen,7,7,0.3375464975833893
unseen,7,8,0.9829081892967224
unseen,7,9,0.4135996401309967
unseen,7,10,0.4520832598209381
unseen,7,11,0.5578972697257996
unseen,8,0,0.642682671546936
unseen,8,1,0.4790813624858856
unseen,8,2,0.43043139576911926
unseen,8,3,0.5870041251182556
unseen,8,4,0.2651536464691162
unseen,8,5,0.40582552552223206
unseen,8,6,0.9028598070144653
unseen,8,7,0.978458821773529
unseen,8,8,0.16849385201931
unseen,8,9,0.9240210652351379
unseen,8,10,0.5847928524017334
unseen,8,11,0.9052680730819702
unseen,9,0,0.3216397762298584
unseen,9,1,0.6013758778572083
unseen,9,2,0.540478527545929
unseen,9,3,0.2303803265094757
unseen,9,4,0.9266717433929443
unseen,9,5,0.6776721477508545
unseen,9,6,0.4412880539894104
unseen,9,7,0.5683358311653137
unseen,9,8,0.40914133191108704
unseen,9,9,0.6546093225479126
unseen,9,10,0.27369794249534607
unseen,9,11,0.42403849959373474
unseen,10,0,0.285074919462204
unseen,10,1,0.298116534948349
unseen,10,2,0.482891321182251
unseen,10,3,0.29689478874206543
unseen,10,4,0.958811342716217
unseen,10,5,0.6679755449295044
unseen,10,6,0.14023327827453613
