group,layer,head,enrichment_uid
seen_own_id,8,5,1.155529499053955
seen_own_id,8,6,1.8417538404464722
seen_own_id,8,7,1.0028365850448608
seen_own_id,8,8,0.6351804137229919
seen_own_id,8,9,1.1133856773376465
seen_own_id,8,10,0.9110208749771118
seen_own_id,8,11,1.8131334781646729
seen_own_id,9,0,0.7508637309074402
seen_own_id,9,1,0.8512593507766724
seen_own_id,9,2,0.6572245359420776
seen_own_id,9,3,0.5833940505981445
seen_own_id,9,4,1.2751152515411377
seen_own_id,9,5,0.9440690279006958
seen_own_id,9,6,0.7116901278495789
seen_own_id,9,7,0.6506264805793762
seen_own_id,9,8,0.5720983743667603
seen_own_id,9,9,0.7780476212501526
seen_own_id,9,10,0.7352645397186279
seen_own_id,9,11,1.5334560871124268
seen_own_id,10,0,1.3203469514846802
seen_own_id,10,1,2.0025596618652344
seen_own_id,10,2,1.2115989923477173
seen_own_id,10,3,1.3774093389511108
seen_own_id,10,4,1.4969098567962646
seen_own_id,10,5,3.628101110458374
seen_own_id,10,6,1.3589202165603638
seen_own_id,10,7,1.0198475122451782
seen_own_id,10,8,0.9679566621780396
seen_own_id,10,9,3.0548689365386963
seen_own_id,10,10,0.8647156357765198
seen_own_id,10,11,0.7912856340408325
seen_own_id,11,0,0.36811965703964233
seen_own_id,11,1,0.8069828748703003
seen_own_id,11,2,0.13559408485889435
seen_own_id,11,3,1.5556904077529907
seen_own_id,11,4,0.032416172325611115
seen_own_id,11,5,0.9161828756332397
seen_own_id,11,6,0.22861741483211517
seen_own_id,11,7,0.5853114724159241
seen_own_id,11,8,0.2435339242219925
seen_own_id,11,9,0.35976114869117737
seen_own_id,11,10,0.49435171484947205
seen_own_id,11,11,0.2481047660112381
seen_unknown,0,0,0.8319737315177917
seen_unknown,0,1,1.3024770021438599
seen_unknown,0,2,1.0037449598312378
seen_unknown,0,3,1.2849749326705933
seen_unknown,0,4,1.3312703371047974
seen_unknown,0,5,0.5161279439926147
seen_unknown,0,6,0.6385659575462341
seen_unknown,0,7,0.9550392031669617
seen_unknown,0,8,0.8454525470733643
seen_unknown,0,9,0.7599208950996399
seen_unknown,0,10,1.2760157585144043
seen_unknown,0,11,1.0815013647079468
seen_unknown,1,0,0.35908299684524536
seen_unknown,1,1,0.4263171851634979
seen_unknown,1,2,0.8029842972755432
seen_unknown,1,3,0.16876175999641418
seen_unknown,1,4,0.20285342633724213
seen_unknown,1,5,0.39505425095558167
seen_unknown,1,6,0.28880059719085693
seen_unknown,1,7,0.8045067191123962
seen_unknown,1,8,0.5863677859306335
seen_unknown,1,9,0.07691679149866104
seen_unknown,1,10,0.16849301755428314
seen_unknown,1,11,0.48239126801490784
seen_unknown,2,0,0.20674777030944824
seen_unknown,2,1,0.5883122682571411
seen_unknown,2,2,0.07480085641145706
seen_unknown,2,3,0.46995747089385986
seen_unknown,2,4,0.4832438826560974
seen_unknown,2,5,0.7264665961265564
seen_unknown,2,6,0.24370141327381134
seen_unknown,2,7,0.5043458342552185
seen_unknown,2,8,0.7839382886886597
seen_unknown,2,9,0.676883339881897
seen_unknown,2,10,0.4465336501598358
seen_unknown,2,11,0.31836527585983276
seen_unknown,3,0,0.19021116197109222
seen_unknown,3,1,0.2801067531108856
seen_unknown,3,2,0.9692468047142029
seen_unknown,3,3,0.9639295935630798
seen_unknown,3,4,0.11294884979724884
seen_unknown,3,5,0.318448007106781
seen_unknown,3,6,0.4010031223297119
seen_unknown,3,7,0.5277485847473145
seen_unknown,3,8,0.3796543478965759
seen_unknown,3,9,0.4470866620540619
seen_unknown,3,10,0.2372329831123352
seen_unknown,3,11,0.8391861319541931
seen_unknown,4,0,1.1178072690963745
seen_unknown,4,1,1.361128330230713
seen_unknown,4,2,0.5517039895057678
seen_unknown,4,3,0.5475308895111084
seen_unknown,4,4,0.8869893550872803
seen_unknown,4,5,0.5952247381210327
seen_unknown,4,6,0.10830968618392944
seen_unknown,4,7,0.4746289849281311
seen_unknown,4,8,0.9874341487884521
seen_unknown,4,9,1.0961170196533203
seen_unknown,4,10,1.2745940685272217
seen_unknown,4,11,0.9136744737625122
seen_unknown,5,0,0.5310428738594055
seen_unknown,5,1,0.8985925912857056
seen_unknown,5,2,0.2485622763633728
seen_unknown,5,3,0.6157169342041016
seen_unknown,5,4,1.73072350025177
seen_unknown,5,5,0.41355884075164795
seen_unknown,5,6,0.19430483877658844
seen_unknown,5,7,0.9946398138999939
seen_unknown,5,8,0.6090933084487915
seen_unknown,5,9,0.47117161750793457
seen_unknown,5,10,1.4617886543273926
seen_unknown,5,11,0.7497674226760864
seen_unknown,6,0,1.111526370048523
seen_unknown,6,1,1.308858871459961
seen_unknown,6,2,0.6564294695854187
seen_unknown,6,3,1.1135534048080444
seen_unknown,6,4,0.7346649169921875
seen_unknown,6,5,1.1513051986694336
seen_unknown,6,6,0.6354732513427734
seen_unknown,6,7,0.8589256405830383
seen_unknown,6,8,1.385766863822937
seen_unknown,6,9,0.9429366588592529
seen_unknown,6,10,0.8869202733039856
seen_unknown,6,11,1.537078857421875
seen_unknown,7,0,1.5083259344100952
seen_unknown,7,1,0.7516605854034424
seen_unknown,7,2,0.985007643699646
seen_unknown,7,3,0.839192807674408
seen_unknown,7,4,0.31662681698799133
seen_unknown,7,5,1.30227530002594
seen_unknown,7,6,0.814599335193634
seen_unknown,7,7,0.39680540561676025
seen_unknown,7,8,1.0478202104568481
seen_unknown,7,9,0.9700775742530823
seen_unknown,7,10,0.5022307634353638
seen_unknown,7,11,0.7019554376602173
seen_unknown,8,0,0.8259644508361816
seen_unknown,8,1,1.0094588994979858
seen_unknown,8,2,1.4934117794036865
seen_unknown,8,3,0.8243348002433777
seen_unknown,8,4,1.748140811920166
seen_unknown,8,5,1.1179314851760864
seen_unknown,8,6,2.1206507682800293
seen_unknown,8,7,1.0254842042922974
seen_unknown,8,8,0.47845977544784546
seen_unknown,8,9,1.0786038637161255
seen_unknown,8,10,1.0014495849609375
seen_unknown,8,11,2.4184067249298096
seen_unknown,9,0,0.5823920369148254
seen_unknown,9,1,0.7097809314727783
seen_unknown,9,2,0.5746474862098694
seen_unknown,9,3,0.3997787535190582
seen_unknown,9,4,0.9113649725914001
seen_unknown,9,5,0.6282851099967957
seen_unknown,9,6,0.6383746862411499
seen_unknown,9,7,0.45998796820640564
seen_unknown,9,8,0.42051541805267334
seen_unknown,9,9,0.6725482940673828
seen_unknown,9,10,0.4390091598033905
seen_unknown,9,11,1.5640666484832764
seen_unknown,10,0,0.981390118598938
seen_unknown,10,1,0.7051007747650146
seen_unknown,10,2,0.882844090461731
seen_unknown,10,3,1.0857875347137451
seen_unknown,10,4,1.066789984703064
seen_unknown,10,5,1.4270076751708984
seen_unknown,10,6,0.7202869653701782
seen_unknown,10,7,0.9062091112136841
seen_unknown,10,8,0.7857528328895569
seen_unknown,10,9,1.125680923461914
seen_unknown,10,10,0.9026282429695129
seen_unknown,10,11,0.5788936018943787
seen_unknown,11,0,0.46647414565086365
seen_unknown,11,1,0.8923302292823792
