group,layer,head,enrichment_uid
not_is_words,4,6,0.17110811173915863
not_is_words,4,7,0.47051212191581726
not_is_words,4,8,1.0822296142578125
not_is_words,4,9,1.5223907232284546
not_is_words,4,10,1.307137370109558
not_is_words,4,11,0.7835817337036133
not_is_words,5,0,0.5197341442108154
not_is_words,5,1,0.8797472715377808
not_is_words,5,2,0.31409138441085815
not_is_words,5,3,0.6033071279525757
not_is_words,5,4,1.9242664575576782
not_is_words,5,5,0.6262223124504089
not_is_words,5,6,0.38590630888938904
not_is_words,5,7,0.890760064125061
not_is_words,5,8,0.5715531706809998
not_is_words,5,9,0.5721107125282288
not_is_words,5,10,1.5367658138275146
not_is_words,5,11,1.0645660161972046
not_is_words,6,0,1.2876083850860596
not_is_words,6,1,2.0453875064849854
not_is_words,6,2,1.586053729057312
not_is_words,6,3,1.129256010055542
not_is_words,6,4,0.7195892930030823
not_is_words,6,5,1.0019917488098145
not_is_words,6,6,0.6106809377670288
not_is_words,6,7,0.9806135892868042
not_is_words,6,8,1.854360580444336
not_is_words,6,9,1.3108831644058228
not_is_words,6,10,1.1164714097976685
not_is_words,6,11,2.324079990386963
not_is_words,7,0,1.5572013854980469
not_is_words,7,1,0.7317218780517578
not_is_words,7,2,1.2747116088867188
not_is_words,7,3,0.884989321231842
not_is_words,7,4,0.4316607117652893
not_is_words,7,5,1.3573479652404785
not_is_words,7,6,0.8105850219726562
not_is_words,7,7,0.5032112002372742
not_is_words,7,8,1.0588008165359497
not_is_words,7,9,1.609826922416687
not_is_words,7,10,0.4715767502784729
not_is_words,7,11,0.6739431023597717
not_is_words,8,0,0.8080286383628845
not_is_words,8,1,1.067397952079773
not_is_words,8,2,1.6341744661331177
not_is_words,8,3,0.7617114782333374
not_is_words,8,4,2.2335853576660156
not_is_words,8,5,1.3288240432739258
not_is_words,8,6,2.186453104019165
not_is_words,8,7,0.8829625248908997
not_is_words,8,8,0.5657250285148621
not_is_words,8,9,1.1107665300369263
not_is_words,8,10,0.9096946120262146
not_is_words,8,11,2.339134931564331
not_is_words,9,0,0.7151157259941101
not_is_words,9,1,0.7830656170845032
not_is_words,9,2,0.6156286597251892
not_is_words,9,3,0.4959043562412262
not_is_words,9,4,1.1105396747589111
not_is_words,9,5,0.7670263051986694
not_is_words,9,6,0.73499596118927
not_is_words,9,7,0.5745089054107666
not_is_words,9,8,0.5232420563697815
not_is_words,9,9,0.7361990213394165
not_is_words,9,10,0.6098315119743347
not_is_words,9,11,1.854085922241211
not_is_words,10,0,1.1049567461013794
not_is_words,10,1,1.4580391645431519
not_is_words,10,2,1.0096352100372314
not_is_words,10,3,1.3113479614257812
not_is_words,10,4,1.5644029378890991
not_is_words,10,5,3.418794870376587
not_is_words,10,6,1.0731920003890991
not_is_words,10,7,0.9593076109886169
not_is_words,10,8,0.9399346113204956
not_is_words,10,9,2.6101322174072266
not_is_words,10,10,0.9431588053703308
not_is_words,10,11,0.6684421896934509
not_is_words,11,0,0.6350488066673279
not_is_words,11,1,1.0160917043685913
not_is_words,11,2,0.11502733081579208
not_is_words,11,3,1.4122158288955688
not_is_words,11,4,0.06133212521672249
not_is_words,11,5,0.9364959001541138
not_is_words,11,6,0.25040581822395325
not_is_words,11,7,0.4176105558872223
not_is_words,11,8,0.3465538024902344
not_is_words,11,9,0.3277224600315094
not_is_words,11,10,0.3878256678581238
not_is_words,11,11,0.31502512097358704
