group,layer,head,enrichment_uid,enrichment_date
seen_own_id,0,7,0.9576902389526367,0.9321398735046387
seen_own_id,0,8,0.9031442999839783,0.9672383666038513
seen_own_id,0,9,0.7694379687309265,1.0294294357299805
seen_own_id,0,10,1.2040717601776123,1.0573170185089111
seen_own_id,0,11,1.086775302886963,1.0210572481155396
seen_own_id,1,0,0.3671126365661621,0.7823085188865662
seen_own_id,1,1,0.5156183242797852,0.6178534030914307
seen_own_id,1,2,0.8054711222648621,1.0040297508239746
seen_own_id,1,3,0.26002731919288635,0.4591678977012634
seen_own_id,1,4,0.35073673725128174,0.6058515906333923
seen_own_id,1,5,0.5245814323425293,0.3645762503147125
seen_own_id,1,6,0.34654664993286133,0.5454961061477661
seen_own_id,1,7,0.9364413619041443,0.6457628011703491
seen_own_id,1,8,0.772649884223938,0.45178744196891785
seen_own_id,1,9,0.11814501136541367,0.2956264913082123
seen_own_id,1,10,0.18470880389213562,0.3871876001358032
seen_own_id,1,11,0.5012941360473633,0.6865254044532776
seen_own_id,2,0,0.27431854605674744,0.5479055047035217
seen_own_id,2,1,0.8033850789070129,0.7048852443695068
seen_own_id,2,2,0.1401454210281372,0.13719896972179413
seen_own_id,2,3,0.46768102049827576,0.7244806885719299
seen_own_id,2,4,0.7738299369812012,0.481889009475708
seen_own_id,2,5,0.7698221802711487,0.5239608287811279
seen_own_id,2,6,0.2997894585132599,0.5812751650810242
seen_own_id,2,7,0.726779043674469,0.6699095964431763
seen_own_id,2,8,0.815675675868988,0.6768043041229248
seen_own_id,2,9,0.5629561543464661,0.5328078866004944
seen_own_id,2,10,0.5936911702156067,0.48473551869392395
seen_own_id,2,11,0.2993643283843994,0.32253289222717285
seen_own_id,3,0,0.388406902551651,0.3144635856151581
seen_own_id,3,1,0.3511110842227936,0.46587759256362915
seen_own_id,3,2,0.6830817461013794,0.5805283188819885
seen_own_id,3,3,0.9678159952163696,0.6110111474990845
seen_own_id,3,4,0.16291601955890656,0.1559022217988968
seen_own_id,3,5,0.35951942205429077,0.6176497340202332
seen_own_id,3,6,0.39550790190696716,0.5730280876159668
seen_own_id,3,7,0.5841971635818481,0.5079050064086914
seen_own_id,3,8,0.47437915205955505,0.654703676700592
seen_own_id,3,9,0.3704296350479126,0.8132919073104858
seen_own_id,3,10,0.10593905299901962,0.2941751778125763
seen_own_id,3,11,0.8489209413528442,0.8070330619812012
seen_own_id,4,0,0.9408687949180603,0.752676248550415
seen_own_id,4,1,1.550866723060608,1.0342844724655151
seen_own_id,4,2,0.42785176634788513,0.5866763591766357
seen_own_id,4,3,0.28561434149742126,0.5866519212722778
seen_own_id,4,4,0.4691471457481384,0.5154113173484802
seen_own_id,4,5,0.6634260416030884,0.5057089924812317
seen_own_id,4,6,0.09602414071559906,0.2768574059009552
seen_own_id,4,7,0.5016172528266907,0.4095425009727478
seen_own_id,4,8,1.011764407157898,0.9479400515556335
seen_own_id,4,9,1.4786670207977295,0.6422895193099976
seen_own_id,4,10,1.0822070837020874,0.7508848309516907
seen_own_id,4,11,0.9194503426551819,0.5238792300224304
seen_own_id,5,0,0.25818049907684326,0.48724812269210815
seen_own_id,5,1,0.7622003555297852,0.9307169914245605
seen_own_id,5,2,0.18045827746391296,0.18718329071998596
seen_own_id,5,3,0.6770948767662048,0.7442145347595215
seen_own_id,5,4,1.2158772945404053,0.6205770969390869
seen_own_id,5,5,0.2116289883852005,0.46562644839286804
seen_own_id,5,6,0.19203202426433563,0.14505746960639954
seen_own_id,5,7,0.7351174354553223,0.8990374803543091
seen_own_id,5,8,0.4191122055053711,0.5620408058166504
seen_own_id,5,9,0.41483381390571594,0.5483537912368774
seen_own_id,5,10,0.5662215948104858,0.5746784806251526
seen_own_id,5,11,0.6496008634567261,0.5627977252006531
seen_own_id,6,0,0.9316068887710571,0.2810722589492798
seen_own_id,6,1,1.463640570640564,0.4891051650047302
seen_own_id,6,2,0.7987003922462463,0.12426241487264633
seen_own_id,6,3,0.761668860912323,0.5325554013252258
seen_own_id,6,4,0.5351361632347107,0.6068311333656311
seen_own_id,6,5,0.49853387475013733,0.46179869771003723
seen_own_id,6,6,0.305331289768219,0.5188265442848206
seen_own_id,6,7,0.496830552816391,0.5936130285263062
seen_own_id,6,8,1.860955834388733,0.47041842341423035
seen_own_id,6,9,0.6395447254180908,0.15273886919021606
seen_own_id,6,10,0.5823590755462646,0.33017614483833313
seen_own_id,6,11,1.4924514293670654,0.4955175817012787
seen_own_id,7,0,1.3289114236831665,1.0024807453155518
seen_own_id,7,1,0.8483731150627136,0.6128543019294739
seen_own_id,7,2,0.9547809958457947,0.3400435745716095
seen_own_id,7,3,0.4668114483356476,0.31374725699424744
seen_own_id,7,4,0.5581193566322327,0.4424622654914856
seen_own_id,7,5,1.094939947128296,0.7335920929908752
seen_own_id,7,6,0.7918412685394287,0.8621183037757874
seen_own_id,7,7,0.6551194787025452,0.22689704596996307
