layer,head,enrichment_uid,enrichment_date
4,10,1.073161005973816,0.730054497718811
4,11,0.8145849108695984,0.530237078666687
5,0,0.3651580214500427,0.45649853348731995
5,1,0.7912781238555908,0.928394079208374
5,2,0.23668383061885834,0.21401871740818024
5,3,0.7169539332389832,0.7161768674850464
5,4,1.0671833753585815,0.6106728911399841
5,5,0.1817379891872406,0.49058663845062256
5,6,0.252657026052475,0.16981616616249084
5,7,0.7263391017913818,0.8907105922698975
5,8,0.4941522479057312,0.5357404947280884
5,9,0.39443913102149963,0.5506618022918701
5,10,0.6029322743415833,0.5443945527076721
5,11,0.6031041741371155,0.5770410299301147
6,0,1.0572779178619385,0.27034273743629456
6,1,1.4184824228286743,0.49105820059776306
6,2,0.6873582601547241,0.15133005380630493
6,3,0.8159135580062866,0.5240771770477295
6,4,0.556559681892395,0.6074965596199036
6,5,0.49875786900520325,0.4636828601360321
6,6,0.3552609086036682,0.5322186350822449
6,7,0.5203501582145691,0.5891044735908508
6,8,1.683943748474121,0.48563215136528015
6,9,0.8343087434768677,0.13735198974609375
6,10,0.6060288548469543,0.3466903269290924
6,11,1.5072380304336548,0.48951777815818787
7,0,1.2740451097488403,1.0342313051223755
7,1,0.8957359194755554,0.6037625670433044
7,2,0.851085901260376,0.31694576144218445
7,3,0.45786648988723755,0.3198181688785553
7,4,0.5610309839248657,0.4898975193500519
7,5,1.1581515073776245,0.7539721727371216
7,6,0.7576393485069275,0.8863828182220459
7,7,0.6659006476402283,0.24634820222854614
7,8,1.0900121927261353,0.9620758891105652
7,9,1.661808729171753,0.36041775345802307
7,10,0.5198600888252258,0.39187705516815186
7,11,0.7396817207336426,0.5543715953826904
8,0,0.6826319694519043,0.6789881587028503
8,1,0.6262555718421936,0.5798250436782837
8,2,0.9182529449462891,0.5631120204925537
8,3,0.5745830535888672,0.4383252263069153
8,4,0.9857145547866821,0.44888386130332947
8,5,1.1354732513427734,0.5330506563186646
8,6,1.333958625793457,0.6023591756820679
8,7,1.0958603620529175,1.0098824501037598
8,8,0.4909607470035553,0.19801639020442963
8,9,0.9770369529724121,0.5490161776542664
8,10,0.5435318350791931,0.6133456826210022
8,11,0.8326330184936523,0.8594157099723816
9,0,0.9073536396026611,0.38377004861831665
9,1,0.8331974148750305,0.5256937146186829
9,2,0.6086740493774414,0.699051022529602
9,3,0.5991898775100708,0.41142186522483826
9,4,1.2580796480178833,0.7840088605880737
9,5,1.0305079221725464,0.5807347297668457
9,6,0.8211093544960022,0.7474380731582642
9,7,0.6427500247955322,0.6940492987632751
9,8,0.4862857162952423,0.3464251160621643
9,9,0.8008759021759033,0.6909367442131042
9,10,0.866486132144928,0.5005666017532349
