mass_date_tokens,mass_cls,mass_content,enrichment_date,enrichment_content,n_date_tokens,seq_len,group
0.10733640193939209,0.3772922456264496,0.5153713524341583,0.2743041382895576,0.9118108543065879,9,23,seen
0.10670480132102966,0.2820722162723541,0.6112229824066162,0.2726900478204091,1.0813945073347826,9,23,seen
0.06736935675144196,0.3404702842235565,0.5921603590250015,0.20210807025432587,0.9404899819808847,9,27,seen
0.09352122992277145,0.2738015353679657,0.6326772347092628,0.27017244199911755,1.0281005064025521,9,26,seen
0.09168760478496552,0.2475316822528839,0.6607807129621506,0.27506281435489655,1.0494752499987097,9,27,seen
0.06236787512898445,0.4133760631084442,0.5242560617625713,0.16631433367729187,0.8987246773072651,9,24,seen
0.10375283658504486,0.2542666494846344,0.6419805139303207,0.28820232384734684,1.0699675232172012,9,25,seen
0.0659077912569046,0.37238433957099915,0.5617078691720963,0.16110793418354458,1.0297977601488433,9,22,seen
0.09995612502098083,0.44546931982040405,0.4545745551586151,0.23323095838228863,0.8678241507573561,9,21,seen
0.11905097961425781,0.435030996799469,0.4459180235862732,0.27778561909993493,0.8512980450283397,9,21,seen
0.039897702634334564,0.4828825294971466,0.47721976786851883,0.0975277175505956,0.8749029077589513,9,22,seen
0.09594161808490753,0.28090396523475647,0.623154416680336,0.27716467446751064,1.012625927105546,9,26,seen
0.10510337352752686,0.3371843099594116,0.5577123165130615,0.29195381535424125,0.9295205275217693,9,25,seen
0.04709877446293831,0.42187079787254333,0.5310304276645184,0.13606312622626623,0.8629244449548423,9,26,seen
0.04656558111310005,0.36977607011795044,0.5836583487689495,0.13452278988228905,0.948444816749543,9,26,seen
0.1080751121044159,0.29688793420791626,0.5950369536876678,0.31221699052386814,0.9669350497424603,9,26,seen
0.1043192446231842,0.3123631477355957,0.5833176076412201,0.3013667066891988,0.9478911124169827,9,26,seen
0.11322792619466782,0.3090790808200836,0.5776929929852486,0.327102897895707,0.9387511136010289,9,26,seen
0.08731413632631302,0.2867899537086487,0.6258959099650383,0.26194240897893906,0.994069974650355,9,27,seen
0.1057191789150238,0.24716348946094513,0.6471173316240311,0.2819178104400635,1.1093439970697674,9,24,seen
0.09317617118358612,0.2741672992706299,0.632656529545784,0.27952851355075836,1.004807429278598,9,27,seen
0.09884169697761536,0.27467861771583557,0.6264796853065491,0.28554268015755546,1.0180294886231422,9,26,seen
0.08493730425834656,0.41807278990745544,0.496989905834198,0.2170619997713301,0.8792898333989657,9,23,seen
0.10617420822381973,0.3167174756526947,0.5771083161234856,0.3185226246714592,0.9165837961961241,9,27,seen
0.050944071263074875,0.4108676314353943,0.5381882973015308,0.14264339953660965,0.8864277837907567,10,28,seen
0.0919993445277214,0.29123473167419434,0.6167659237980843,0.2483982302248478,1.0407924964092672,10,27,seen
0.09328027814626694,0.30757662653923035,0.5991430953145027,0.24252872318029403,1.0385146985451381,10,26,seen
0.09363636374473572,0.2846929430961609,0.6216706931591034,0.2340909093618393,1.110126237784113,10,25,seen
0.09855704009532928,0.28296324610710144,0.6184797137975693,0.26610400825738906,1.0436845170333982,10,27,seen
0.09523875266313553,0.27980104088783264,0.6249602064490318,0.25714463219046596,1.0546203483827412,10,27,seen
0.10138155519962311,0.2695413827896118,0.6290770620107651,0.26359204351902005,1.0904002408186595,10,26,seen
0.07831209152936935,0.3168178200721741,0.6048700883984566,0.21144264712929728,1.0207182741723955,10,27,seen
0.12028102576732635,0.3158470690250397,0.563871905207634,0.28867446184158324,1.0409942865371704,10,24,seen
0.10374642163515091,0.25850650668144226,0.6377470716834068,0.26974069625139235,1.105428257584572,10,26,seen
0.12649327516555786,0.32950788736343384,0.5439988374710083,0.30358386039733887,1.0043055461003232,10,24,seen
0.0650082379579544,0.3591760993003845,0.5758156627416611,0.16902141869068144,0.9980804820855459,10,26,seen
0.10357886552810669,0.3775049149990082,0.5189162194728851,0.27966293692588806,0.8756711203604937,10,27,seen
0.11837481707334518,0.2873292565345764,0.5942959263920784,0.29593704268336296,1.06124272570014,10,25,seen
0.099807970225811,0.26425716280937195,0.635934866964817,0.26948151960968975,1.0731400880031288,10,27,seen
